6.016853932584269415e+01,1.239215686274509842e+01,4.299999999999999822e+00,2.538461538461538325e+00,1.936170212765957466e+00,1.555555555555555580e+00,1.494623655913978499e+00,1.237623762376237613e+00,1.072916666666666741e+00,1.000000000000000000e+00
5.261294117647058783e+02,2.796984924623115631e+01,6.619047619047618625e+00,3.842931937172775037e+00,2.497652582159624490e+00,1.785046728971962704e+00,1.607329842931937147e+00,1.340206185567010211e+00,1.103092783505154717e+00,1.000000000000000000e+00
9.685353535353535790e+02,2.416250000000000000e+02,4.666554054054054035e+01,5.071672354948805861e+00,3.254295532646048095e+00,2.543554006968641090e+00,1.765124555160142439e+00,1.522435897435897356e+00,1.206666666666666776e+00,1.000000000000000000e+00
1.557933333333333394e+03,5.304479166666666288e+02,2.478741258741258662e+02,3.493366093366093139e+01,5.451776649746192582e+00,3.021220159151193574e+00,1.681462140992167065e+00,1.452020202020201989e+00,1.237089201877934252e+00,1.000000000000000000e+00
1.882224299065420610e+03,7.046733668341709063e+02,2.896801242236024905e+02,1.339149999999999920e+02,2.296303901437371664e+01,3.388781431334622951e+00,2.442885771543086282e+00,1.644490644490644415e+00,1.253608247422680400e+00,1.000000000000000000e+00
2.714065934065934016e+03,1.042925373134328311e+03,5.194705882352941444e+02,2.739413202933985190e+02,1.169147609147609188e+02,1.252144082332761599e+01,3.104014598540146164e+00,2.115259740259740173e+00,1.208955223880596952e+00,1.000000000000000000e+00
2.792900000000000091e+03,1.223490196078431381e+03,6.880316901408450576e+02,3.211710213776722185e+02,1.504834951456310819e+02,6.873684210526316463e+01,1.290428571428571480e+01,3.149187592319054652e+00,1.529243937232525052e+00,1.000000000000000000e+00
3.205330188679245111e+03,1.280371040723981878e+03,7.876699999999999591e+02,5.529419525065962944e+02,3.002222222222222285e+02,1.621694078947368496e+02,7.174310595065311702e+01,4.286831812255541330e+00,2.281553398058252302e+00,1.000000000000000000e+00
3.648532710280373976e+03,1.630631067961164945e+03,1.108428571428571331e+03,5.533116279069766961e+02,4.398133874239350689e+02,2.417450000000000045e+02,1.456919831223628705e+02,6.952332912988650548e+01,1.010621468926553668e+01,1.000000000000000000e+00
4.241857142857143117e+03,1.861837320574162732e+03,1.132400651465798092e+03,7.818903061224490330e+02,4.514602272727272521e+02,3.146175040518638752e+02,2.288630527817403788e+02,1.337926675094816744e+02,6.608914285714286052e+01,1.000000000000000000e+00
